,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,13.584171295166016,26.751074319705214,22.483083724975586,25.86374536777148
1,29.28042984008789,32.66227906800177,16.333759307861328,30.797611436868337
2,19.14942741394043,36.242514612081564,13.844871520996094,36.60633880503516
3,19.887609481811523,30.810240742061207,18.268964767456055,29.47262232253892
4,16.877254486083984,33.088077823999136,12.584236145019531,33.44517014305215
5,24.487747192382812,34.59849620940131,18.2255859375,30.545071869938383
6,16.72756576538086,30.770935549459715,23.481042861938477,31.560181189462632
7,18.128252029418945,42.512601062326524,19.604751586914062,44.075715527742595
8,13.38569450378418,20.664636864601363,17.288883209228516,22.81174270268229
9,23.656396865844727,32.32938314596712,16.93297004699707,33.212675382254915
average,19.516454887390136,32.0430239397605,17.90481491088867,31.839087474734686
