,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,20.138669967651367,20.221310226340215,18.02705955505371,20.298964718571902
1,44.29416275024414,30.928691377057316,34.423274993896484,28.53412276306434
2,26.669015884399414,22.51944461324861,32.2309684753418,24.569932401091382
3,46.29408264160156,16.42790660908478,64.8788070678711,16.38103946321539
4,37.0959587097168,13.39276686576158,61.37179946899414,13.354406500131368
5,31.343618392944336,18.530904417765367,21.083831787109375,18.512485172164368
6,32.288265228271484,26.23875046093758,52.11658477783203,26.21760584756402
7,50.889034271240234,20.529918705992568,33.70652389526367,19.710942116501062
8,28.93749237060547,18.811115445087594,27.743160247802734,18.561774497194
9,39.94739532470703,16.787634816591485,19.848989486694336,12.988033252209924
average,35.78976955413818,20.43884435378671,36.54309997558594,19.912930673170774
