,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,12.980206489562988,24.996659545830564,11.658354759216309,25.09856342193137
1,21.240617752075195,14.634468446996129,12.34356689453125,14.437718866480848
2,18.23529624938965,16.41376486692662,15.781074523925781,14.334466136723142
3,35.641807556152344,28.921097418130465,22.1401309967041,28.477362575034654
4,14.494216918945312,17.68202528024301,16.55829620361328,14.234910524380554
5,28.410242080688477,19.694945892807812,18.243362426757812,18.07359654476527
6,10.58857536315918,16.155541943360866,11.46184253692627,16.492393373715515
7,15.225590705871582,21.45120773644838,14.675202369689941,21.224464426855626
8,12.989363670349121,25.37241858837012,12.312555313110352,25.090412700652724
9,12.022459983825684,34.52450898745272,16.672786712646484,33.77725438257447
average,18.182837677001952,21.984663870656668,15.184717273712158,21.124114295311422
