,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,22.710311889648438,29.57004166287748,20.123165130615234,29.594648381533677
1,14.037525177001953,37.78771641451964,17.544200897216797,38.26572258169135
2,41.648902893066406,70.12035943437759,47.739871978759766,68.16996845571694
3,20.898075103759766,64.79170677975253,31.289960861206055,64.62089350974358
4,36.01249694824219,50.62912381473391,29.313100814819336,51.32741987489303
5,29.142122268676758,53.8853745115747,37.212646484375,52.700738365605474
6,35.17726135253906,49.22847289331239,20.356157302856445,49.219310798369044
7,37.47749328613281,103.34932436843445,30.303943634033203,103.27065057602418
8,34.66136169433594,67.79539468925915,31.174610137939453,67.80800558879677
9,28.22813606262207,50.79621305518265,29.23314666748047,51.410492002227606
average,29.99936866760254,57.79537276240245,29.429080390930174,57.63878501346015
