,시작온도_시간(총)_MLP_5_5_에너지,시작온도_시간(총)_MLP_9_9_에너지,시작온도_시간(총)_KNN_에너지
0,22.788869857788086,16.05122947692871,44.49611275888458
1,10.11107063293457,9.156027793884277,24.28190209737225
2,15.301609992980957,9.470535278320312,32.611258326945766
3,14.847926139831543,14.734113693237305,24.97475309975106
4,21.76685905456543,12.454182624816895,34.56515513185609
5,29.327653884887695,28.317623138427734,59.82484198433077
6,14.527206420898438,15.734319686889648,44.945366752501826
7,17.417184829711914,19.31284523010254,32.214456255434676
8,15.275396347045898,11.691863059997559,30.44917007143611
9,14.91557788848877,19.967979431152344,24.332679302141056
average,17.62793550491333,15.689071941375733,35.26956957806542
