,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,26.571401596069336,29.8541661956519,29.918354034423828,29.853387711277474
1,44.07421875,35.129970415271956,15.88443660736084,33.35268881875141
2,65.48384857177734,22.20941348999401,59.14870834350586,18.02741809359204
3,91.51360321044922,43.39461468586561,73.73070526123047,43.59077649441466
4,47.5057487487793,42.01982122250942,49.37080001831055,42.05768000438213
5,181.38638305664062,14.222774947514056,65.5834732055664,15.831324818162354
6,32.38874816894531,31.350681219741755,43.149070739746094,31.338087916391594
7,57.924278259277344,9.125589191632947,100.3757553100586,9.184804630442674
8,119.64057922363281,11.107976800483547,56.903785705566406,9.862644430722622
9,66.26222229003906,20.124861545298973,60.333152770996094,26.144735252038636
average,73.27510318756103,25.853986971396417,55.439824199676515,25.92435481701756
