,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,28.55068016052246,25.76354679802956,15.719557762145996,25.763546798029545
1,27.11888313293457,20.075458453979117,3.9333198070526123,20.075458453979117
2,1191.23486328125,21.552197802197796,1189.388671875,21.55219780219781
3,108.6984634399414,10.404433352906635,148.57196044921875,10.404433352906635
4,774.0953369140625,38.26812555260831,64.88813018798828,38.26812555260831
5,21.485570907592773,20.075458453979117,58.47736358642578,20.075458453979117
6,691.1863403320312,25.365321701199562,56.98320007324219,17.27008360596146
7,42.4802360534668,25.76354679802956,20.192914962768555,25.763546798029545
8,104.77520751953125,10.404433352906635,99.30944061279297,10.404433352906635
9,741.1835327148438,25.365321701199562,68.33658599853516,17.27008360596146
average,373.0809114456177,22.303784396703588,172.58011453151704,20.684736777655964
