,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,24.99060821533203,20.743336309359176,25.676685333251953,20.481886776312884
1,34.824684143066406,22.929166115967437,32.69438934326172,22.053103877474232
2,35.741600036621094,22.322817395174376,33.163230895996094,22.526531397723414
3,28.638816833496094,27.300508994901218,32.377742767333984,27.36703107304152
4,38.97331237792969,40.67548019135595,38.26817321777344,40.195375223728526
5,33.17499923706055,25.354902665981875,33.74541473388672,24.487225751128697
6,30.497011184692383,26.26852135751856,36.79591369628906,26.515459907248033
7,52.205387115478516,29.4182643924797,52.276275634765625,28.58389458849222
8,28.79869842529297,19.415209445594623,24.539592742919922,20.004868862236812
9,22.312597274780273,23.806774542618925,28.406295776367188,24.26645993298702
average,33.015771484375,25.823498141095182,33.79437141418457,25.648183739037336
