,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,52.57075500488281,21.320720810440363,34.287322998046875,23.525332590979556
1,45.262264251708984,27.004352612777893,41.44056701660156,26.743914510455664
2,83.60711669921875,48.97632242834631,67.36531829833984,49.82302783855819
3,33.934329986572266,27.723540671900466,40.1834716796875,24.338526363188816
4,48.25655746459961,41.65379422579261,56.600074768066406,40.20351051903283
5,35.68699264526367,24.875748432501833,30.1004581451416,25.290622448087856
6,31.294567108154297,22.575963041133754,33.47153091430664,22.590470020692496
7,85.25749206542969,19.888095223159535,79.28712463378906,18.538238121571414
8,35.76884078979492,25.269405932675298,30.168834686279297,25.415478127186496
9,70.92738342285156,28.367783991079765,48.03158950805664,27.84951028843572
average,52.256629943847656,28.765572736980783,46.09362926483154,28.431863082818904
