순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량
1,P5,2020-03-02,주간,200105-19180-374,001,"02,05",가열로5호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고","2/28 P5주
COGBAR",ALLOY,1,9554,1,110.01
2,P5,2020-03-02,주간,200105-19180-375,001,"02,05",가열로5호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고","2/28 P5주
COGBAR",ALLOY,1,9554,1,110.01
3,P5,2020-03-02,주간,200105-19180-376,001,"02,05",가열로5호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고","2/28 P5주
COGBAR",ALLOY,1,9554,1,110.01
4,P5,2020-03-02,주간,200105-19180-377,001,"02,05",가열로5호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고","2/28 P5주
COGBAR",ALLOY,1,9554,1,110.01
5,P5,2020-03-02,주간,200105-19180-378,001,"02,05",가열로5호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고","2/28 P5주
COGBAR",ALLOY,1,9554,1,110.01
6,P5,2020-03-02,주간,200105-19180-379,001,"02,05",가열로5호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고","2/28 P5주
COGBAR",ALLOY,1,9554,1,110.01
7,P5,2020-03-02,주간,200105-19180-380,001,"02,05",가열로5호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고","2/28 P5주
COGBAR",ALLOY,1,9554,1,110.01
8,P5,2020-03-02,주간,200105-19180-381,001,"02,05",가열로5호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고","2/28 P5주
COGBAR",ALLOY,1,9554,1,110.01
9,P5,2020-03-02,주간,200212-15045-001,001,"02,05",가열로2호기,"630.00 X 0.00 X 4515.00
",S30Mn,"S/N:001 시방서참고 PISTON ROD
1차,2차작업  <전공정 고객 입회예정>","400T
SLAB",CARBON,1,9170,1,143.69
10,P5,2020-03-02,주간,"200212-15045-007
파괴테스트용",001,"02,05",가열로2호기,"630.00 X 0.00 X 4515.00
",S30Mn,"S/N:001 시방서참고 PISTON ROD
1차,2차작업  <전공정 고객 입회예정>","400T
SLAB",CARBON,1,9170,1,143.69
11,P5,2020-03-02,주간,200115-12321-001,"001,002","02,05",가열로2호기,"1300.00 X 550.00 X 700.00
",TW SCM430,"55/250/50 S/N:001-002
1355 X 300 X 750","P5 예열
Φ800 R/B",ALLOY,2,8490,2,133.03
12,P5,2020-03-02,주간,200221-19226-011,"003,004","02,05",가열로2호기,"4550.00 X 3750.00 X 175.00
",TWS355,"30/30/25 S/N:003-004
1761*500*505","400T
SLAB",CARBON,2,9410,2,147.45
13,P5,2020-03-02,야간,"180904-12339-063
2/2차작업",001,"01,03",가열로3호기,"478.00 X 0.00 X 7417.00
",TW 350LF2,S/N:001 시방서참고 R/STOCK,"2/28 P5야
1차작업분",CARBON,1,13970,1,116.6
14,P5,2020-03-02,야간,"180904-12339-065
2/2차작업",001,"01,03",가열로3호기,"478.00 X 0.00 X 7417.00
",TW 350LF2,S/N:001 시방서참고 R/STOCK,"2/28 P5야
1차작업분",CARBON,1,13970,1,116.6
15,P5,2020-03-02,야간,"180904-12339-069
2/2차작업",001,"01,03",가열로3호기,"478.00 X 0.00 X 7417.00
",TW 350LF2,S/N:001 시방서참고 R/STOCK,"2/28 P5야
1차작업분",CARBON,1,13970,1,116.6
16,P5,2020-03-02,야간,"200106-19157-011
2/3차작업",001,"01,03",가열로3호기,"1050.00 X 910.00 X 2500.00
",TW 266MGr2,"80/80/150 S/N:001  ￠650T/B사용
1130 X 830 X 2650  PIPE작업","2/28 P5야
1차작업분",CARBON,1,10720,1,89.47
17,P5,2020-03-02,야간,200204-19411-023,"001,002,003,004","01,03",가열로3호기,"6000.00 X 5500.00 X 147.00
",TWS355,"40/40/35 S/N:001-004
1528*500*590","400T
SLAB",CARBON,4,8030,4,67.02
18,P5,2020-03-02,야간,200211-19240-001,"001,002,003","01,03",가열로1호기,"2956.00 X 2610.00 X 550.00
",TWS355,"30/30/30 S/N:001-003
1459*500*705","400T
SLAB",CARBON,3,8650,3,115.08
19,P5,2020-03-02,야간,200211-19240-002,"001,002,003","01,03",가열로1호기,"2956.00 X 2610.00 X 550.00
",TWS355,"30/30/30 S/N:001-003
1459*500*705","400T
SLAB",CARBON,3,8650,3,115.08
20,P5,2020-03-02,야간,200211-19240-003,001,"01,03",가열로1호기,"2956.00 X 2610.00 X 550.00
",TWS355,"30/30/30 S/N:001
1459*500*705","400T
SLAB",CARBON,1,8650,1,115.08
21,P8,2020-03-02,주간,"200129-19168-011
시편",001,"15,12",가열로12호기,4300.00 X 3970.00 X 107.00,S355NL,"1150*450*420
30/30/37(시)","톱절단
Φ600 R/B",CARBON,0,2764,1,66.71
22,P8,2020-03-02,주간,200129-19168-011,"002,003,004,005,006,007,008,009,010,011,012","15,12",가열로12호기,4300.00 X 3970.00 X 107.00,S355NL,"1139*450*415
30/30/32","톱절단
Φ600 R/B",CARBON,0,2764,11,66.71
23,P8,2020-03-02,주간,"200114-19998-002
시편",001,"15,12",가열로12호기,3672.00 X 3312.00 X 110.00,S355NL,"1127*450*400
25/25/37(시)",Φ600 R/B,CARBON,0,2472,1,59.67
24,P8,2020-03-02,주간,200114-19998-002,002,"15,12",가열로12호기,3672.00 X 3312.00 X 110.00,S355NL,"1110*450*395
25/25/30",Φ600 R/B,CARBON,0,2472,1,59.67
25,P8,2020-03-02,주간,200114-19998-003,"001,002","15,12",가열로15호기,4175.00 X 3785.00 X 125.00,S355NL,"1192*450*445
30/30/25",Φ600 R/B,CARBON,0,3313,2,51.57
